RefDes,Qty,Population,Category,Function,Manufacturer,Part_or_Value,Manufacturer_Part_Number,Footprint_or_Interface,Supply_or_Net_Context,Open_Hardware_Treatment,Source_or_Product_URL,Verification_Status,Release_Note
C5,1,Required,Capacitor,Additional local bulk energy storage,Generic,"22 µF, through-hole capacitor",Builder-selected compatible 22 µF through-hole capacitor,Through-hole capacitor footprint — confirm exact KiCad identifier from final source,Additional XIAO-side / radio-load bulk decoupling on Gateway supply path,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; associated rail stability validated during powered bring-up,Observe polarity where a polarised part is selected; exact brand and MPN are non-normative.
TP1,1,PCB feature / optional fitted probe pin,Test point,DWM-side ground reference,N/A / optional generic hardware,GND_DWM,,Through-hole test-point footprint,DWM ground-reference observation,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,PCB test-access feature; a fitted commercial probe pin is optional.
TP2,1,PCB feature / optional fitted probe pin,Test point,Gateway 5 V rail measurement,N/A / optional generic hardware,5V_GATEWAY,,Through-hole test-point footprint,5V_GATEWAY,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,PCB test-access feature; a fitted commercial probe pin is optional.
TP3,1,PCB feature / optional fitted probe pin,Test point,XIAO-side ground reference,N/A / optional generic hardware,GND_C6,,Through-hole test-point footprint,XIAO ground-reference observation,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,XIAO-side ground test access remains valid even when the optional XIAO is unfitted.
TP4,1,PCB feature / optional fitted probe pin,Test point,Gateway auxiliary / pull-up rail measurement,N/A / optional generic hardware,3V3_GATEWAY,,Through-hole test-point footprint,3V3_GATEWAY,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,Auxiliary/pull-up rail; it is not the XIAO power input.
TP5,1,PCB feature / optional fitted probe pin,Test point,DWM reset observation/control,N/A / optional generic hardware,DWM_RESET,,Through-hole test-point footprint,NUCLEO CN15.33 / PD0 to DWM J10.12 / RESET,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,RESET evidence is recorded in the hardware bring-up note.
TP6,1,PCB feature / optional fitted probe pin,Test point,DWM interrupt/data-ready observation,N/A / optional generic hardware,DWM_IRQ,,Through-hole test-point footprint,NUCLEO CN15.16 / PB9 to DWM J10.15 / GPIO_RPI,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,READY/IRQ evidence is recorded in the hardware bring-up note.
TP7,1,PCB feature / optional fitted probe pin,Test point,DWM chip-select observation,N/A / optional generic hardware,DWM_CS,,Through-hole test-point footprint,NUCLEO CN15.17 / PA3 to DWM J10.24 / CS_RPI; pulled up by R1,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,DWM host-interface evidence is recorded in the physical validation note.
TP8,1,PCB feature / optional fitted probe pin,Test point,XIAO chip-select observation,N/A / optional generic hardware,C6_CS,,Through-hole test-point footprint,NUCLEO CN15.19 / PD7 to XIAO D3 / GPIO21; pulled up by R2,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,PCB test-access feature retained for optional onward-networking work.
TP9,1,PCB feature / optional fitted probe pin,Test point,XIAO interrupt/data-ready observation,N/A / optional generic hardware,C6_INT,,Through-hole test-point footprint,NUCLEO CN15.5 / PC1 to XIAO D2 / GPIO2,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,PCB test-access feature retained for optional onward-networking work.
TP10,1,PCB feature / optional fitted probe pin,Test point,Shared SPI clock observation,N/A / optional generic hardware,SPI5_SCK,,Through-hole test-point footprint,NUCLEO CN15.11 / PE15 to DWM J10.23 and XIAO D8 / GPIO19,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,Shared route includes the optional XIAO branch; DWM-side operation is validated.
TP11,1,PCB feature / optional fitted probe pin,Test point,Shared SPI MOSI observation,N/A / optional generic hardware,SPI5_MOSI,,Through-hole test-point footprint,NUCLEO CN15.15 / PG2 to DWM J10.19 and XIAO D10 / GPIO18,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,Shared route includes the optional XIAO branch; DWM-side operation is validated.
TP12,1,PCB feature / optional fitted probe pin,Test point,Shared SPI MISO observation,N/A / optional generic hardware,SPI5_MISO,,Through-hole test-point footprint,NUCLEO CN15.13 / PG1 to DWM J10.21 and XIAO D9 / GPIO20,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,Shared route includes the optional XIAO branch; DWM-side operation is validated.
TP13,1,PCB feature / optional fitted probe pin,Test point,NUCLEO 5 V source-rail confirmation,N/A / optional generic hardware,5V_NUCLEO,,Through-hole test-point footprint,Source confirmation for 5V_GATEWAY derived from NUCLEO supply path,Creator-designed PCB feature; optional commercial pin if fitted,,Present in certified design; corresponding rail or signal path included in continuity/bring-up evidence where used,Source-rail evidence is recorded in the hardware bring-up note.
H1–H4,4,PCB feature; mounting hardware optional,Mechanical feature,Carrier-board mounting holes,N/A for drilled feature,M3 mounting holes,,Mounting-hole footprints — confirm exact KiCad identifiers from final source,Mechanical only,Creator-designed PCB mechanical features; standoffs/fasteners are commercial items if selected,,PCB mounting features present in manufactured carrier; installation hardware remains builder-selected,Exact standoff and fastener selection is installation dependent and outside the carrier-PCB certification scope.
ASSEMBLY-IF,As required,Required according to chosen module mounting method,Interconnect hardware,Headers / sockets required to mate commercial modules to the Gateway carrier PCB,To be selected,"Pin headers and/or receptacle/socket strips matching U1, U2 and fitted U3 interfaces",Builder-selected compatible headers and/or socket strips,Determined by carrier-board module footprints and stacking/clearance arrangement,Mechanical and electrical mating of commercial modules,Commercial assembly hardware; not relicensed,,Compatible assembly interface selected and demonstrated on the validated carrier assembly,Builder-selected equivalent mechanically and electrically compatible headers or sockets are permitted.
